relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
15529,5.481600952,-5.6269487,4.07078476,984.9948883,130.0383148,,0,,
15596,6.275250549,-6.456673279,2.777025146,984.9948883,128.142807,,-0.020370483,,
15663,6.515650635,-6.406976624,3.20723053,984.9745178,127.1061935,,0,,
15729,8.229736176,-7.892038422,6.278094635,984.9745178,133.3431244,,0,,
15796,7.639962616,-8.455167389,3.30782135,984.9745178,133.3431244,,0,,
15863,6.546037445,-9.777367859,0.433348846,984.9745178,127.9769211,,0,,
15928,5.110223236,-5.037474518,1.370400238,984.9745178,129.9463348,,0,,
15996,8.767567749,-8.869356079,2.008074188,984.9745178,131.2459564,,0,,
16063,5.660628662,-6.062692566,1.507964172,984.9745178,131.2459564,,0,,
16129,5.758674774,-5.604495392,1.55975647,984.9745178,131.2459564,,0,,
16196,6.81697403,-6.493047638,2.738255768,984.9745178,132.6392059,,0,,
16262,6.70695282,-5.677842865,3.411405945,984.9745178,133.8708191,,0,,
16329,7.086114349,-6.945257263,1.93996582,984.9745178,130.5896301,,0,,
16396,8.162675629,-6.989714813,2.4126828,984.9745178,123.2590256,,0,,
16463,8.728349304,-8.359216919,1.053209839,984.9745178,117.6806107,,0,,
16529,7.550149384,-8.736731873,1.906136169,984.9745178,116.3814316,,-0.016098022,,
16595,3.415148163,-6.439608765,0.126187592,984.9584198,108.6880569,,0,,
16663,7.007976837,-10.28092072,2.752625885,984.9584198,101.5990982,,0,,
16728,6.285878448,-5.285209351,2.406395874,984.9584198,106.4747238,,0,,
16796,4.154161377,-6.595883789,2.392624512,984.9584198,105.1333847,,0,,
16863,5.334756317,-7.506589966,1.970053253,984.9584198,103.4759293,,0,,
16929,6.521189117,-5.595963135,3.109184418,984.9584198,99.82089996,,0,,
16996,5.974376221,-6.653963013,3.391946411,984.9584198,97.38002014,,0,,
17063,6.766229553,-6.877448273,4.609664154,984.9584198,98.42362976,,0,,
17129,7.688162384,-6.965764618,4.26493103,984.9584198,97.02293396,,0,,
17196,5.739514618,-8.504864044,0.40715332,984.9584198,92.95425415,,0,,
17262,5.380261688,-7.765102386,0.580492859,984.9584198,84.7572403,,0,,
17328,7.338339844,-8.008795624,2.320025482,984.9584198,78.21173096,,0,,
17396,6.156098328,-6.021977234,0.2176474,984.9584198,72.93611145,,0,,
17463,6.40742569,-5.772146759,1.117725677,984.9584198,70.41265869,,-0.006484985,,
17529,6.665189667,-6.452481995,1.982776794,984.9519348,68.17058563,,0,,
17596,7.212152252,-7.145091705,2.624941406,984.9519348,66.72548676,,0,,
17662,7.398664398,-5.53219574,3.641776886,984.9519348,69.71533203,,0,,
17729,8.598419495,-7.186854858,0.648451538,984.9519348,62.27093887,,0,,
17796,8.110434265,-8.891659698,2.451601868,984.9519348,54.00207138,,0,,
17863,6.187233582,-7.369774475,1.610351257,984.9519348,50.50268936,,0,,
17929,3.203039246,-5.217100983,0.302371216,984.9519348,41.33541489,,0,,
17996,7.021598511,-12.32821335,2.168091431,984.9519348,28.11261177,,0,,
18063,6.218518524,-6.570436707,1.768123169,984.9519348,29.58051872,,0,,
